K-sredine,DBSCAN,Gaussova mješavina
0.609,0.627,0.522
0.609,0.6,0.609
0.652,0.588,0.478
0.609,0.542,0.609
0.478,0.615,0.652
0.522,0.679,0.696
0.522,0.571,0.609
0.609,0.56,0.522
0.609,0.588,0.652
0.609,0.627,0.565
0.609,0.468,0.609
0.609,0.531,0.609
0.609,0.5,0.522
0.478,0.5,0.652
0.609,0.667,0.652
0.609,0.6,0.696
0.609,0.478,0.609
0.565,0.571,0.522
0.609,0.56,0.565
0.609,0.727,0.565
